,Name,ReviewRate,ReviewTime,ReviewVisite,ReviewText,VoyageType,RoomRate,EmplacementRate,ServiceRate,HostelType
0,Owen Segerius,5,il y a une minute ,01/2023,,,,,,26
1,stephane rozzonelli,5,il y a 31 minutes ,01/2023,,,5,5,5,26
2,Zonga B,5,il y a 5 heures ,01/2023,,,,,,26
3,Jose Ebram Filho,5,il y a 7 heures ,01/2023,,,5,5,5,26
4,Akio_Sama,5,il y a 9 heures ,01/2023,,,5,5,5,26
5,Bea Stalpaert,5,il y a 11 heures ,01/2023,,,5,5,5,26
6,Lovepizza andpasta,5,il y a 12 heures ,01/2023,,,5,5,5,26
7,Anneke Ghoos,5,il y a 19 heures ,01/2023,(Traduit par Google) Pas (encore) resté mais ça vaut le coup d'y jeter un coup d'oeil<br/>(Avis d'origine)<br/>Niet verbleven (nog niet) Maar de moeite om kijkje te nemen,,,5,,26
8,Claire Widdows,4,il y a un jour ,01/2023,,,,4,4,26
9,Annabelle,5,il y a un jour ,01/2023,"Rien à redire, que du positif !<br/>Super séjour dans cet hôtel.",,5,5,5,26
10,Valentin Combe,5,il y a un jour ,01/2023,"Nous avons passé un merveilleux séjour dans cette hôtel ! Tout était parfait ! L'accueil, les chambres, la décoration ! 👍😃", Couple ,5,5,5,26
11,delia gonzalez,5,il y a un jour ,01/2023,,,5,5,5,26
12,Sarot Mickael,5,il y a un jour ,01/2023,,,5,5,5,26
13,Jérôme Monseu,5,il y a 2 jours ,01/2023,,,,,,26
14,amy trezona,5,il y a 2 jours ,01/2023,(Traduit par Google) Étonnante<br/>(Avis d'origine)<br/>Amazing, Vacances · Couple ,5,5,5,26
