,Name,ReviewRate,ReviewTime,ReviewVisite,ReviewText,VoyageType,RoomRate,EmplacementRate,ServiceRate,HostelType
0,Assia Bilel,1,il y a 57 minutes ,01/2023,"Ménage pas fait dans la chambre, photos envoyé à disney et literie déchirée. Vus le prix c'est pas acceptable. Seule l'ambiance western est bien", Vacances · Famille ,1,4,1,22
1,Ronny Van Deursen,5,il y a 2 heures ,01/2023,"(Traduit par Google) Chambres soignées avec tout ce dont vous avez besoin. avec un petit déjeuner très copieux que vous dites. Le parc Cheyenne est facile et rapide d'accès et les navettes pour les Parcs Disneyland passent toutes les 12 minutes. Vous ne manquez de rien. Cependant, il est conseillé d'acheter à l'avance des chèques petit-déjeuner et dîner avec votre séjour, car ils peuvent coûter entre 18 € et 35 € pour un menu dans un restaurant des parcs. Questions par personne et par menu hors boissons alcoolisées.<br/>(Avis d'origine)<br/>Nette kamers met alles wat je nodig hebt. met een Heel uitgebreid ontbijt waar je u tegen zegt.  Het Cheyenne park is makkelijk en snel te bereiken en de shuttle bussen naar de Disneyland Parken rijden om de 12 min . Je komt niks te kort. Wel is het raadzaam om vooraf ontbijt en diner Bonnen bij het verblijf te kopen, omdat ze op de parken voor een menu bij een restaurant tussen de 18€ en 35€. Vragen per persoon per menu exclusief alcoholische dranken.",,5,5,5,22
2,Ricardo Ferreira,5,il y a 2 heures ,01/2023,(Traduit par Google) C'est un espace magnifique avec un esprit cowboy 🤠 J'ai beaucoup aimé cet hôtel et j'y ai séjourné deux fois. Très proche du parc Disney - 10 m à pied - et a un très bon petit déjeuner et repas. Les chambres sont confortables. Essayez-le 😊<br/>(Avis d'origine)<br/>É um espaço magnífico com espírito cowboy 🤠 Gostei muito deste hotel e já fiquei duas vezes. Pretíssimo do Parque Disney - 10 m a pé - e tem um pequeno almoço e refeições bastante agradáveis. Os quartos são confortáveis. Experimentem 😊,,,,,22
3,Dominique Loete,4,il y a 3 heures ,01/2023,, Vacances · Famille ,4,4,4,22
4,ANNABELLE,5,il y a 12 heures ,01/2023,,,,,,22
5,Momma B,1,il y a 20 heures ,01/2023,"This hotel is in serious need of maintenance and remodel. We stayed here and had to change rooms because the first one was so horrible, but even the ""upgraded“ room was terrible! This was definitely far from the Disney standard that we expect especially with it still being Disney prices. There was mold in the showers, the tub did not drain, the lock in our first room and heater did not work. There was chipped paint, it was very dirty, over all disappointing. Not to mention these are incredibly small rooms with no fridge, coffee machines, or any accommodations. The design of the bathrooms was horrible. There was no way to keep everything from being completely soaked anytime someone would shower.<br/>The most mortifying part was on our last day the staff walked into our room two separate times within 15 minutes of eachother while I was nursing my baby. No knocking, they just let themselves in. I could understand if it was past check out time but it was not! Absolutely horrific.<br/>We were also incredibly frustrated with the meal plan. We purchased the full board plus meal plan which was supposed to include full course meals for lunch and dinner, breakfast, an alcoholic or fancy drink for each of us per day, and tea time for each of us each day. Over all we honestly were ripped off. If you do a meal plan, only do breakfast. We asked probably over 15 cast members where we could use our tea time at and nobody knew. The one place that we were told we could use it at refused to take it and said their card reader was down. So we paid for a bunch of I paid tea time. We also were incredibly upset to find out that one of the restaurants used two of our alcoholic drinks for coffees. So instead of getting two $10-$15 drinks we got two $3 coffees. Thankfully at another restaurant one of the cast members did. correct that for us, but it was still very upsetting.<br/>(Traduit par Google)<br/>Cet hôtel a sérieusement besoin d'entretien et de rénovation. Nous avons séjourné ici et avons dû changer de chambre car la première était tellement horrible, mais même la chambre ""surclassée"" était horrible! C'était vraiment loin de la norme Disney à laquelle nous nous attendions, surtout avec les prix Disney. douches, la baignoire ne se vidait pas, la serrure de notre première chambre et le chauffage ne fonctionnait pas. Il y avait de la peinture écaillée, c'était très sale, dans l'ensemble décevant. Sans oublier que ce sont des chambres incroyablement petites sans réfrigérateur, machines à café ou La conception des salles de bains était horrible. Il n'y avait aucun moyen d'empêcher que tout soit complètement trempé à chaque fois que quelqu'un prenait une douche.<br/>La partie la plus mortifiante a été le dernier jour, le personnel est entré dans notre chambre deux fois à moins de 15 minutes d'intervalle pendant que j'allaitais mon bébé. Pas de frappe, ils se sont juste laissés entrer. Je pouvais comprendre s'il était passé l'heure de départ mais ce n'était pas le cas! Absolument horrible.<br/>Nous étions également incroyablement frustrés par le plan de repas. Nous avons acheté la pension complète plus le plan de repas qui était censé inclure des repas complets pour le déjeuner et le dîner, le petit-déjeuner, une boisson alcoolisée ou raffinée pour chacun de nous par jour et une heure du thé pour chacun de nous chaque jour. Dans l'ensemble, nous avons honnêtement été arnaqués. Si vous faites un plan de repas, ne faites que le petit-déjeuner. Nous avons probablement demandé à plus de 15 membres de la distribution où nous pourrions utiliser notre heure du thé et personne ne le savait. Le seul endroit où on nous a dit que nous pouvions l'utiliser a refusé de le prendre et a dit que son lecteur de carte était en panne. Nous avons donc payé un tas d'heures de thé que j'ai payées. Nous avons également été incroyablement contrariés d'apprendre que l'un des restaurants utilisait deux de nos boissons alcoolisées pour les cafés. Donc, au lieu de prendre deux boissons à 10 $ - 15 $, nous avons eu deux cafés à 3 $. Heureusement, dans un autre restaurant, l'un des membres de la distribution l'a fait. corrigez cela pour nous, mais c'était quand même très bouleversant.",,,,,22
6,Ernesto D,3,il y a 22 heures ,01/2023,"Room not in top conditions, should be a 60EUR room..<br/>(Traduit par Google)<br/>La chambre n'est pas dans les meilleures conditions, devrait être une chambre à 60 EUR. .",,2,3,4,22
7,Léo Crouslé,5,il y a un jour ,01/2023,"Superbe hôtel, à 10 minutes à pied du village Disney. L'ambiance y est très agréable, le thème et la décoration sont incroyable.<br/>Personnel au top, chambre très bien pour la catégorie. Et un petit déjeuner extraordinaire avec un buffet ... on y resterai manger toute la journée !!!", Vacances · Famille ,5,5,5,22
8,Anneke Ghoos,5,il y a un jour ,01/2023,"(Traduit par Google) Arrivé tard, reçu un accueil chaleureux et une belle chambre<br/>(Avis d'origine)<br/>Laat toegekomen,  vriendelijk ontvangen en leuke kamer", Vacances · Famille ,5,5,5,22
9,Valeria De Luca,1,il y a un jour ,01/2023,(Traduit par Google) Hôtel sur le thème de Toy Story extérieurement très caractéristique (style far west) mais malheureusement chambres et salle de bain sales à rénover.Climatiseurs ne fonctionnant pas car la chambre était gelée (température extérieure -1°).Excellent service de navette continu à la place..en seulement 2 minutes vous arrivée au parc disneyland personnel sympathique et serviable<br/>(Avis d'origine)<br/>Hotel a tema Toy story esternamente  molto caratteristico (stile far west) ma purtroppo camere sporche e bagno da ristrutturare.condizionatori poco funzionanti in quanto la camera era ghiacciata (temperatura  esterna -1° ).ottimo invece il servizio navetta continuo..in soli 2 minuti si arriva al parco disneyland .personale gentile e disponibile, Vacances · Famille ,1,5,3,22
