,Name,ReviewRate,ReviewTime,ReviewVisite,ReviewText,VoyageType,RoomRate,EmplacementRate,ServiceRate,HostelType
0,Eli Moreno,4,il y a 15 heures ,01/2023,, Vacances · Famille ,5.0,4.0,4.0,23
1,Jamie Boslem,4,il y a 19 heures ,01/2023,,,4.0,5.0,4.0,23
2,LadyM,5,il y a un jour ,12/2022,Très bel hôtel, Vacances ,5.0,5.0,5.0,23
3,Laura Gslt,4,il y a un jour ,01/2023,Personnel très accueillant<br/>Chambre très jolie mais pas très insonorisée<br/>Et quelque cheveux dans la baignoire 🛀,,,,,23
4,Jérémy Thuillier,5,il y a un jour ,01/2023,,,,,,23
5,Laura Stephany Tanod,5,il y a un jour ,01/2023,(Traduit par Google) Tout parfait.<br/>Personnel aimable.<br/>Chambre propre et confortable.<br/>Petit déjeuner copieux avec beaucoup de choix.<br/>(Avis d'origine)<br/>Tutto perfetto.<br/>Staff gentile.<br/>Camera pulita e comoda.<br/>Colazione abbondante con tanti scelta.,,,,,23
6,Giancarlo Gargano,5,il y a 2 jours ,01/2023,(Traduit par Google) passionnant<br/>(Avis d'origine)<br/>emozionante,,,,,23
7,Patrick amey,4,il y a 2 jours ,01/2023,,,4.0,4.0,4.0,23
8,nimuesing pandy,3,il y a 2 jours ,01/2023,"(Traduit par Google) Les chambres sont petites, et le confort réduit au minimum. TV, baignoire, lits. Bain moussant siroté. Pas de dentifrice ni de savon, nous n'avions même pas de brosse de toilette. Je vous suggère de tout apporter de chez vous. Ah évidemment il n'y a pas de bidet. Honnêtement, c'est très bien d'y dormir car il a tous les services pour rejoindre les parcs et les aéroports.<br/>(Avis d'origine)<br/>Le stanze sono piccole,e i confort ridotti al minimo. TV, vasca,letti. Bagnoschiuma centellinato. No dentifricio ne sapone,noi non avevamo nemmeno lo scopino del WC. Vi consiglio di portarvi tutto da casa. Ah ovviamente non c'è il bidet. Sinceramente per dormirci e basta va più che bene xké ha tutte i servizi x raggiungere i parchi e gli aereoporti.",,3.0,5.0,2.0,23
9,Sarah Borraccino,5,il y a 2 jours ,01/2023,, Vacances · Famille ,5.0,5.0,5.0,23
10,Frank Nazzarelli,5,il y a 2 jours ,01/2023,,,,,,23
11,Pierre Calmel,5,il y a 3 jours ,01/2023,,,,,,23
12,Nicola Fusillo,5,il y a 3 jours ,01/2023,(Traduit par Google) Propre<br/>(Avis d'origine)<br/>Pulito,,4.0,5.0,4.0,23
13,Angela Pacheco,5,il y a 3 jours ,01/2023,,,5.0,5.0,5.0,23
14,olaf wesel,4,il y a 3 jours ,01/2023,,,3.0,4.0,4.0,23
15,Océane dsn,2,il y a 3 jours ,11/2022,L'accueil rien à dire le personnel très gentil et souriant.<br/>Le petit déjeuner du choix pour tout les goûts et assez propre.<br/>Mais la chambre au vue du prix une catastrophe.. Dans la salle de bain j'ai retrouvé des cheveux partout qui n'était pas a nous et un insecte dans ma serviette de qui était dans la salle de bain. Bref déçu je trouve ça dommage au vue du prix que ça soit pas plus pointilleux au niveaux de la propreté., Vacances ,2.0,5.0,4.0,23
16,Б ВСЕ,4,il y a 3 jours ,11/2022,,,,,,23
17,Julie Drouin,5,il y a 3 jours ,01/2023,,,,,,23
18,Sara Novo,3,il y a 3 jours ,01/2023,,,3.0,5.0,3.0,23
19,Margarita Exposito,4,il y a 3 jours ,01/2023,"(Traduit par Google) Les chambres sont étroites et l'hôtel est un peu vieux, mais il est propre et l'attention du personnel était super<br/>(Avis d'origine)<br/>Las habitaciones son justitas y el hotel está un poco viejito, pero esta limpio y la atención por parte del personal fue estupenda", Vacances · Famille ,4.0,5.0,5.0,23
20,Esther Fernandez Moran,5,il y a 4 jours ,01/2023,(Traduit par Google) Totalement recommandé si j'y retournais je répéterais sans aucun doute service personnalisé tous de 10 non rien ne manque le traitement est parfait ils ont tout fait pour nous servir en espagnol et ils ont rendu notre séjour très agréable nourriture parfaite propreté de la chambre ravis nous sommes restés et voulons rendre<br/>(Avis d'origine)<br/>Totalmente recomendable si volviese a ir repetiría sin duda servicio personal todo de 10 no.le falta de.nada el trato es perfecto hicieron todo por atendernos en español y nos hicieron la estancia muy agradable comida perfecta habitación limpieza encantadisima quedamos y ganas de volver, Vacances · Famille ,5.0,5.0,5.0,23
21,Philipp S.,4,il y a 4 jours ,01/2023,"(Traduit par Google) Complexe de valeur - malheureusement vieillissant, la propreté pourrait être meilleure. Cependant, le thème des voitures et la distance de marche des parcs sont excellents.<br/>(Avis d'origine)<br/>Value resort -leider in die Jahre gekommen, auch die Sauberkeit könnte besser sein. Die Cars Thematisierung und fußläufige nahe zu den Parks jedoch top.",,,,,23
22,Luigi Montefusco,5,il y a 4 jours ,01/2023,(Traduit par Google) Deuxième fois et aussi cette fois je neonp passé un bon moment<br/>(Avis d'origine)<br/>Seconda volta e anche questa volta mi neonp trovato benissimo,,,,,23
23,soraya mahdadi,4,il y a 4 jours ,01/2023,"Personnel sympa et à l'écoute, la chambre était propre et bien chauffée un petit clin d'œil au barman qui pourtait un masque merci pour votre gentillesse 😉", Famille ,4.0,5.0,4.0,23
24,Renzo van Beek,5,il y a 5 jours ,01/2023,"(Traduit par Google) Notre hôtel Santa-Fe était à 10 minutes à pied de Disney Village. Les chambres étaient belles et propres et les lits confortables. La douche n'était pas idéale, il faisait toujours très chaud ou froid. Personnel très sympathique.<br/>(Avis d'origine)<br/>Op 10 min lopen van disney village lag ons hotel Santa-Fe. Kamers waren mooi en schoon en heerlijke bedden. Douche was niet ideaal, werd steeds heel warm of koud. Personeel erg vriendelijk.", Couple ,5.0,4.0,5.0,23
25,πελαγια θεοδοση,5,il y a 5 jours ,01/2023,,,4.0,5.0,5.0,23
26,Jordi,4,il y a 5 jours ,01/2023,,,,,,23
27,Nadia Millet,5,il y a 5 jours ,01/2023,Qualité prix toujours au top !,,5.0,5.0,5.0,23
28,Katell Miss,5,il y a 5 jours ,01/2023,"J'adore, super hôtel restaurant ❤❤❤❤❤❤",,5.0,5.0,5.0,23
29,philippe sousa,2,il y a 5 jours ,01/2023,Un peu cher pour ce que c est<br/>Salle de bain vieillotte,,2.0,4.0,2.0,23
30,Lidia Jordan Silvestre,5,il y a 6 jours ,01/2023,"(Traduit par Google) Nous avons séjourné dans cet hôtel en décembre dernier (2022) et nous n'avons aucune plainte à formuler. Très bonne organisation, travailleurs très sympathiques, ils vous laissent déposer vos valises dans une section quand vous le souhaitez, la chambre est très fraîche et bien équipée, en plus les petits déjeuners et dîners (nous avons choisi de dîner un soir à l'hôtel) très complet et bien. Bus toutes les 5-10 minutes pour vous emmener au parc. Quand je reviendrai à Disney, je reviendrai certainement dans cet hôtel!<br/>(Avis d'origine)<br/>Nos alojamos en este hotel el pasado diciembre (2022) y no tenemos ni una sola queja. Muy buena organización, trabajadores muy amables, te dejan dejar las maletas en un apartado cuando quieras, la habitación muy chula y bien equipadas, además los desayunos y cenas (nosotros elegimos cenar una noche en el hotel)  muy completos y buenos. Autobuses cada 5-10 minutos para llevarte al parque. Cuando vuelva a Disney volveré a alojarme en este hotel sin duda!",,,,,23
31,Cédric Garcia,4,il y a 6 jours ,01/2023,, Vacances · Famille ,5.0,4.0,5.0,23
32,sophie m,4,il y a 6 jours ,01/2023,, Famille ,4.0,4.0,3.0,23
33,Amy Gillott,4,il y a 6 jours ,01/2023,"(Traduit par Google) - Les chambres sont super, mais manquent d'installations hôtelières de base, comme une bouilloire pour boire un verre.<br/>- Ce serait bien de vous dire que les invités arrivent, afin que vous puissiez vous rencontrer et vous saluer.<br/>- Personnel très sympathique<br/>- J'adore la côte<br/>- Rendu confortable<br/>- Manque de savon pour les mains après une pandémie<br/>(Avis d'origine)<br/>- Rooms are great, but lack basic hotel facilities, like kettle for a drink.<br/>- It would be nice to tell you guest are coming, so you can meet &amp; greet.<br/>- Staff very friendly<br/>- Love the costa<br/>- Made comfortable<br/>- Lack of hand soap after a pandemic",,,,,23
34,Daniel Herranz,5,il y a 6 jours ,01/2023,,,,,,23
35,chloe bocchan,2,il y a 6 jours ,01/2023,"Chambre sale, moisissure dans la salle de bain et sur le rideau de douche, serviettes tachées et une belle intoxication alimentaire en prime après le petit-déjeuner. Le personnel était sympathique mais n'ont donnés aucunes informations sur l'hôtel", Vacances · Amis ,2.0,4.0,3.0,23
36,louna heritier,5,il y a une semaine ,01/2023,"Très bon accueil,  personnel agréable et de bon conseils.<br/>Concernant la chambre, rien à dire, très agréable et propre. Nous sommes bien plongé dans l'univers de Cars et de la route 66 !", Vacances · Couple ,5.0,5.0,5.0,23
37,Daniela Gremes,4,il y a une semaine ,01/2023,,,3.0,5.0,5.0,23
38,Marília Falsetti,2,il y a une semaine ,01/2023,"(Traduit par Google) Chambre d'hôtel basique. Pas de congélateur pour stocker de l'eau ou des collations. Le mur de la salle de bain est tombé pendant que je me brossais les dents. J'aurais dû avoir un hôtel plus cher comme les princesses, mais honnêtement, cela n'est pas censé se produire dans un endroit qui coûte plus de 100 euros par nuit.<br/>(Avis d'origine)<br/>Basic hotel room. No freezer to store water or snacks. Bathroom wall fell while I was brushing my teeth. Should have gotten a more expensive hotel like the Princesses but honestly this is not supposed to happen in a place that costs over a 100 euro per night.",,,,,23
39,Giuseppe Albanese,5,il y a une semaine ,01/2023,,,5.0,4.0,5.0,23
40,J,2,il y a une semaine ,01/2023,Petit déjeuner très cher pour une bouffe de cantine !!,,,,,23
41,Emma Chat,1,il y a une semaine ,01/2023,"Ménage dans les chambres à désirer, de la moisissure dans la salle de bain. Et intoxication alimentaire avec le petit déjeuner.", Vacances · Amis ,1.0,3.0,2.0,23
42,Bryan Lang,5,il y a une semaine ,01/2023,, Vacances · Amis ,5.0,5.0,5.0,23
