,Name,ReviewRate,ReviewTime,ReviewVisite,ReviewText,VoyageType,RoomRate,EmplacementRate,ServiceRate,HostelType
0,Joël Pauwels,5,il y a 2 heures ,01/2023,"Très belle chambre, propre et un excellent service",,5,5,5,24
1,gaetan nobile,4,il y a 2 heures ,01/2023,, Vacances · Couple ,4,4,4,24
2,Traveller 1980,1,il y a 4 heures ,01/2023,"(Traduit par Google) Le lobby est agréable, les chambres sont plutôt 1 ou 2 étoiles. Nourriture et boissons trop chères et pas très bonnes. La piscine était froide et les vestiaires donnent l'impression d'être dans un centre de loisirs municipal.<br/>(Avis d'origine)<br/>The lobby is nice, the rooms are more 1-2 star though. Food and drinks overpriced and not very good. Pool was cold and the changing rooms are like being in a council leisure centre.",,,,,24
3,Isabelle Baille,5,il y a 6 heures ,01/2023,"Chambre spacieuse et très propre.<br/>Personnel très professionnel et très courtois.<br/>Petit dej et buffet du soir, très variés et de qualité.<br/>Nous n avons pas testé la piscine faute de temps", Famille ,5,5,5,24
4,regine gracia,5,il y a 7 heures ,12/2022,Tres bon hôtel rapport qualité prix personnels agréables dommage pas de personnage dans cet hôtel,,,,,24
5,Adri Besjes,5,il y a 8 heures ,01/2023,, Amis ,5,5,5,24
6,Rachel Green,5,il y a 18 heures ,01/2023,,,,,,24
7,Sybille Bail,5,il y a un jour ,01/2023,Propre bien agencé,,5,5,5,24
8,Merche Santo Aristin,5,il y a un jour ,01/2023,, Vacances · Famille ,5,5,5,24
9,Claire Widdows,4,il y a un jour ,01/2023,,,,4,4,24
10,Progetti Golosi Brand,5,il y a un jour ,01/2023,(Traduit par Google) Fantastique et très bien entretenu. Belles chambres<br/>(Avis d'origine)<br/>Fantastico e molto curato. Camere bellissime,,,,,24
11,patrick souchay,5,il y a un jour ,01/2023,, Vacances ,5,5,5,24
12,LENA MUA DIVERTIDA,5,il y a un jour ,01/2023,(Traduit par Google) Super hôtel pour aller à Eurodisney. Je roule très bien.<br/>(Avis d'origine)<br/>Gran hotel para ir a Eurodisney. Rodo estupendo.,,5,5,5,24
13,Nizamettin Kaya,5,il y a un jour ,01/2023,,,,,,24
14,Zhanar Bainazarova,5,il y a un jour ,01/2023,,,5,5,5,24
15,Laureline Jaffrelot,5,il y a un jour ,01/2023,,,4,5,4,24
16,Alejandra Jivelekian,5,il y a un jour ,12/2022,"(Traduit par Google) Entrer dans la baie de Newport, c'est commencer à vivre la magie. L'hôtel impressionne par sa majesté et sa décoration raffinée.<br/>Les chambres sont très confortables.<br/>L'hôtel dispose d'une immense piscine chauffée et de diverses salles de loisirs.<br/>Le petit déjeuner est très complet et le personnel est très gentil.<br/>De Newport on peut aller à pied aux parcs Disneyland Paris, c'est tout proche, il y a un chemin qui borde un grand lac devant l'hôtel. C'est une belle promenade en soi.<br/>Nous avons beaucoup apprécié cet hôtel et y retournerons sans hésiter si possible.<br/>Le personnel est très sympathique, on s'y sent très bien.<br/>(Avis d'origine)<br/>Entrar en el Newport Bay es comenzar a vivir la magia. El Hotel impacta por su magestuosidad y fina decoración.<br/>Las habitaciones son muy cómodas.<br/>El hotel dispone de una enorme pileta climatizada y diversos salones de esparcimiento.<br/>El desayuno es muy completo y el personal es muy agradable.<br/>Desde el Newport se puede ir caminando hasta los parques de Disneyland París, está muy cerca, hay un camino que bordea un gran lago que hay delante de él hotel. Este es un gran paseo en sí mismo.<br/>Disfrutamos mucho de este hotel y sin duda volveríamos si fuese posible.<br/>El personal es muy amable, nos sentimos muy a gusto allí.", Vacances · Famille ,5,5,5,24
17,Glenn Lambert,4,il y a 2 jours ,01/2023,,,,,,24
18,Sandrine Rivoal,5,il y a 2 jours ,01/2023,Magnifique !!!!!, Vacances · Famille ,5,5,5,24
19,Reinier Reynhout,5,il y a 2 jours ,01/2023,,,5,5,5,24
20,Rafael Morán delgado,5,il y a 2 jours ,01/2023,,,,,,24
