,Name,ReviewRate,ReviewTime,ReviewVisite,ReviewText,VoyageType,RoomRate,EmplacementRate,ServiceRate,HostelType
0,Celia Diaz hernandez,1,il y a 17 heures ,01/2023,,,1.0,1.0,1.0,25
1,Gabrielle Garrigues Tudela (Plant4ddict),3,il y a 22 heures ,01/2023,"La chambre était splendide, la décoration est superbe et l'ensemble des services de l'hôtel était vraiment complets et pratiques. En revanche, nous avons du demander dès notre arrivée que le ménage soit fait dans notre chambre; en effet il y avait des cheveux et des produits entamés dans la salle de bain, et sous des lits a boire a manger et même un ongle, tout cela a été constaté par des responsables. Nous reviendront quand même car tout a été réglé très vite par les equipes de l'hôtel mais ayant économiser 2 ans pour ce séjour nous étions déçu quand même.", Vacances · Famille ,1.0,5.0,5.0,25
2,Claire Widdows,4,il y a un jour ,01/2023,,,,4.0,4.0,25
3,Karine Debruyn,5,il y a un jour ,01/2023,,,,,,25
4,Michael Feather,4,il y a un jour ,01/2023,(Traduit par Google) Le personnel est incroyable 😊 incroyablement serviable et sympathique 😊 l'emplacement du village est génial ! Très proche ☺️ les chambres sont très jolies mais un peu vieillottes. C'est le manque de prises de courant qui m'empêche de lui donner 5 étoiles. Mais tout le reste est fantastique 😊<br/>(Avis d'origine)<br/>The staff are amazing 😊 incredibly helpful and friendly 😊 the location to the village is great! Very close ☺️ the rooms are very nice but slightly dated. It's the lack of plug sockets that stops me from giving it a full 5 stars. But everything else is fantastic 😊,,4.0,5.0,5.0,25
5,Barbara Siraut,4,il y a un jour ,01/2023,facile d'accès aux parcs et village Disneyland.<br/>jardin agréable avec musique et chants d'oiseaux.<br/>piscine cool.<br/>bar superbe.<br/>take away sympa: plateau de fromage super bon.<br/>champagne dans verre 30 ans sympa également.<br/>j'y retournerai sans hésitation,,4.0,5.0,4.0,25
6,Karin Langner,4,il y a un jour ,11/2022,"(Traduit par Google) Bel hôtel non loin du Parc Disneyland, malheureusement un peu vieillot, mais toujours propre.<br/>(Avis d'origine)<br/>Schönes Hotel nicht weit vom Disneyland Park entfernt.Leider etwas in die Jahre gekommen , aber trotzdem sauber.",,3.0,4.0,4.0,25
7,San Marseille,4,il y a 2 jours ,01/2023,Petit bémol pour se restaurer...trop cher pour le faire tous les jours,,3.0,4.0,5.0,25
8,Fany Cabezas,5,il y a 2 jours ,01/2023,"(Traduit par Google) L'hôtel est très bien, les chambres sont grandes, le seul inconvénient est qu'il y a peu de prises<br/>(Avis d'origine)<br/>El hotel esta muy bien, las habitaciones son grandes,el único inconveniente es que hay pocos enchufes", Vacances · Famille ,4.0,4.0,5.0,25
9,Josep Brunet,4,il y a 2 jours ,01/2023,(Traduit par Google) Bon rapport qualité prix<br/>(Avis d'origine)<br/>Preu qualitat bona,,4.0,4.0,4.0,25
